aakkosellinen	الفبایی
naimisissa	شوهردار ، عروسی کرده ، متاهل ، پیوسته ، متحد, رزرو شده ، محتاط ، خاموش ، کم حرف ، اندوخته ، ذخیره
nainen	بانو ، خانم ، زوجه ، رءیسه خانه, زن ، زنانگی ، کلفت ، رفیقه (نامشروع) ، زن صفت ، ماده ، مونث ، جنس زن
nais-	جنس ماده ، مونث ، زنانه ، جانور ماده ، زن ، نسوان, زن ، زنانگی ، کلفت ، رفیقه (نامشروع) ، زن صفت ، ماده ، مونث ، جنس زن
naisellinen	جنس زن ، مربوط به جنس زن ، مونث ، مادین ، زنان, زنانه ، در خور زنان ، مثل زن
naismainen	جنس زن ، مربوط به جنس زن ، مونث ، مادین ، زنان
naispuolinen	جنس ماده ، مونث ، زنانه ، جانور ماده ، زن ، نسوان
naisten alusvaatteet	زیرلباس ، زیر جامه (زنانه) ، زیر پوش کودکان
naisten hihaton alusasu	لباس خواب یا زیر پیراهن زنانه, تاب داشتن ، لرزش داشتن ، تکان تکان خوردن (اتومبیل)
nakki	کالباس یا روده پرکرده از گوشت گاو ، سوسیس, سوسیس
nalkuttaa	شکایت کردن ، غرولند کردن ، نالیدن, شکایت ، شکوه کردن ، نق نق زدن ، گله کردن ، گله ، محکم گرفتن ، با مشت گرفتن ، ازردن ، فهمیدن ، گیر ، گرفتن ، چنگ ، تسلط ، مهارت ، درد سخت ، تشنج موضعی ، قولنج, نالیدن ، ناله کردن ، با ناله گفتن ، ناله ، فغان
nalli	طاق, چاشنی ، منفجر کننده, کتاب الفباء ، مبادی اولیه ، بتونه ، چاشنی ، وابسته بدوران بشر اولیه ، باستانی ، ابتدایی
napa	ناف ، سره (مج.) میان ، وسط, قطب, ناف ، پیوندگاه ناف ، فرورفتگی ناف مانند
napakoordinaatit	مختصات قطبی
napata	قاپیدن ، دستگیر کردن ، توقیف, چیدن ، کندن ، کلنگ زدن و(به) ، باخلا ل پاک کردن ، خلا ل دندان بکاربردن ، نوک زدن به ، برگزیدن ، بازکردن(بقصد دزدی) ، ناخنک زدن ، عیبجویی کردن ، دزدیدن ، کلنگ ، زخمه ، مضراب ، خلا ل دندان خلا ل گوش ، هرنوع الت نوک تیز, ربایش ، ربودگی ، قاپ زنی ، ربودن ، قاپیدن ، بردن ، گرفتن ، مقدار کم ، جزءی
napauttaa	تیک ، صدای مختصر ، صدای حاصله از خوردن سم اسب بزمین ، صدا کردن
nappi	دکمه
nappula	پسر بچه ، پسر ، خانه شاگرد, مرد ، انسان ، شخص ، بر ، نوکر ، مستخدم ، اداره کردن ، گرداندن (امور) ، شوهر ، مهره شطرنج ، مردی
naputtaa	شیر اب ، ضربت اهسته ، ضربات اهسته وپیوسته زدن ، شیر اب زدن به ، از شیر اب جاری کردن ، بهره برداری کردن از ، سوراخ چیزیرا بند اوردن
narista	صدای غوک دراوردن ، شکوه وشکایت کردن ، غژغژ کردن ، صدای لولا ی روغن نخورده ، جیرجیرکفش
narri	لوده ، مسخره ، مقلد ، مسخرگی کردن ، دلقک شدن, نادان ، احمق ، ابله ، لوده ، دلقک ، مسخره ، گول زدن ، فریب دادن ، دست انداختن, دلقک ، شوخ
narsismi	عشق بخود ، خود پرستی
narsisti	عاشق خود
naru	زه ، زهی ، نخ ، ریسمان ، رشته ، سیم ، ردیف ، سلسله ، قطار ، نخ کردن (باسوزن و غیره) ، زه انداختن به ، کشیدن ، :ریش ریش ، نخ مانند ، ریشه ای ، چسبناک ، دراز ، به نخ کشیدن (مثل دانه های تسبیح) ، بصف کردن ، زه دارکردن, نخ ، رگه ، نخ کردن ، بند کشیدن
natrium	فلز نرم ومومی شکل نقره فام ، سدیم
nauha	بند و زنجیر ، تسمه یا بند مخصوص محکم کردن ، نوار ، لولا ، ارکستر ، دسته ء موسیقی ، اتحاد ، توافق ، روبان ، باند یا بانداژ ، نوار زخم بندی ، متحد کردن ، دسته کردن ، نوار پیچیدن ، بصورت نوار در اوردن ، با نوار بستن ، متحد شدن, انقیاد ، جلد, نوار ، روبان ، نوار ماشین تحریر ، نوار ضبط صوت و امثال ان ، نوار فلزی ، تسمه ، تراشه, برهنه کردن ، محروم کردن از ، لخت کردن ، چاک دادن ، تهی کردن ، باریکه ، نوار, نوار ، بانوار بستن
nauhoittaa	مدرک ، سابقه ، ضبط کردن ، ثبت کردن, نوار ، بانوار بستن
naula	ناخن ، سم ، چنگال ، چنگ ، میخ ، میخ سرپهن ، گل میخ ، با میخ کوبیدن ، با میخ الصاق کردن ، بدام انداختن ، قاپیدن ، زدن ، کوبیدن ، گرفتن, اغل حیوانات گمشده وضاله ، اغل ، بازداشتگاه بدهکاران وجنایتکاران ، استخر یا حوض اب ، واحد وزن (امروزه معادل 34296 و 354 گرم میباشد) ، لیره ، واحد مسکوک طلا ی انگلیسی ، ضربت ، کوبیدن ، اردکردن ، بصورت گرد در اوردن ، بامشت زدن
nauraa	صدای خنده ، خنده ، خندیدن ، خندان بودن
naurettava	پوچ ، ناپسند ، یاوه ، مزخرف ، بی معنی ، نامعقول ، عبث ، مضحک, استهزاء امیز ، مضحک, خنده دار ، مضحک, خنده اور ، مضحک ، مزخرف ، چرند, مسخره امیز ، مضحک ، خنده دار
nauris	شلغم ، منداب
nauru	صدای خنده ، خنده ، خندیدن ، خندان بودن, خنده ، صدای خنده بلند ، قاه قاه خنده
nauta	گوشت گاو ، پرواری کردن و ذبح کردن ، شکوه وشکایت کردن ، تقویت کردن, گاوی ، شبیه گاو ، گاو خوی, احشام واغنام ، گله گاو
nautinto	لذت ، خوشی ، برخورداری, کیف ، لذت ، خوشی ، عیش ، شهوترانی ، انبساط ، لذت ، بخشیدن ، خوشایند بودن ، لذت بردن
nautiskella	مخالفت نکردن ، مخالف نبودن ، رها ساختن ، افراط کردن (دراستعمال مشروبات و غیره) ، زیاده روی کردن ، شوخی کردن ، دل کسی را بدست اوردن ، نرنجاندن, پربرکت شدن ، حاصلخیز شدن ، پرپشت شدن ، فراوان شدن ، وفور یافتن ، شکوه یافتن ، اب وتاب زیاد دادن ، درتجمل زیستن ، خوشگذران
nautittava	لذت بخش ، لذت بردنی, خوش ایند ، دلپذیر ، خرم ، مطبوع ، پسندیده ، خوش مشرب
nauttia	خوردن ، مصرف کردن ، تحلیل رفتن, لذت بردن ، برخوردارشدن از ، بهره مندشدن از ، دارابودن ، برخوردارشدن
navetta	انبار غله ، انبار کاه و جو و کنف وغیره ، انبارکردن ، طویله
navigoida	کشتیرانی کردن ، هدایت کردن (هواپیماو غیره) ، طبیعت ، ذات ، گوهر ، ماهیت ، خوی ، افرینش ، گونه ، نوع ، خاصیت
ne	ایشان را ، بایشان ، بانها, انها ، ایشان ، انان, انها ، انان
neekeri	زنگی ، سیاه ، کاکا ، سیاه پوست
neiti	از دست دادن ، احساس فقدان چیزی راکردن ، گم کردن ، خطا کردن ، نداشتن ، فاقدبودن(.N): دوشیزه
neito	دوشیزه ، دختر باکره ، جدید
neitonen	دوشیزه ، دختر باکره ، جدید
neitseellisyys	بکارت ، دخترکی ، دوشیزگی ، زندگی تجرد
neitsyt	دوشیزه یا زن جوان ، پیشخدمت مونث ، دختر, باکره ، دست نخورده ، پاکدامن ، عفیف ، سنبله
neitsyt maria	مریم باکره ، مادر عسیی
neitsyys	بکارت ، دخترکی ، دوشیزگی ، زندگی تجرد, تقوا ، پرهیزکاری ، پاکدامنی ، عفت ، خاصیت
nek s	باصدای بلند ، بلند اوا ، پر صدا ، گوش خراش ، زرق وبرق دار ، پرجلوه ، رسا ، مشهور
neli	چهار ضلعی ، مربع ، لوزی ، چهارگوش ، محکم, مربع ، مجذور ، چهارگوش ، گوشه دار ، مجذور کردن
neli juuri	جذر ، ریشه دوم
nelijalkainen	چهار پا ، جانور چهار پا ، ستور, چهارپایی
nelikko	چهارتایی (دربازی گلف) ، بازی گلف چهار نفری, چهارقلو ، چهاربخشی, قطعه موسیقی مخصوص چهارتن خواننده یا نوازنده ، گروه چهارتنی که قطعه ای رابسرایند
nelikulmainen	مستطیل ، بشکل راست گوشه
nelj	چهار ، عدد چهار
nelj kymment	چهل ، چهلمین ، یک چهلم
nelj nnes	ربع
nelj sosa	چهارمین ، چهارم ، چهاریک ، ربع, ربع, نان بوزن چهار پوند(رطل) ، یک چهارم پوند ، یک چهارم پینت ، یک گیل(گءلل)
neljs	چهارمین ، چهارم ، چهاریک ، ربع
neljtoista	عدد چهارده ، چهارده تایی
nelonen	چهارمین ، چهارم ، چهاریک ، ربع
nelos-	چهارمین ، چهارم ، چهاریک ، ربع
nen	بینی ، عضو بویایی ، نوک بر امده هر چیزی ، دماغه ، بو کشیدن ، بینی مالیدن به ، مواجه شدن با
nenk s	عجول و بی پروا ، متهور ، گستاخ ، بی حیا ، بی شرم, دارای گونه های برامده ، گستاخ ، پررو, تر وتازه ، تازه ، خرم ، زنده ، با نشاط ، باروح ، خنک ، سرد ، تازه نفس ، تازه کار ناازموده ، پر رو ، جسور ، بتارزگی ، خنک ساختن ، تازه کردن ، خنک شدن ، اماده ، سرخوش ، شیرین, گستاخ ، بی ربط, گستاخ ، چشم سفید ، پر رو, پر عصب ، پر رگ و پی ، نیرومند ، عصبانی ، پر رو, خوشمزه ، پر رو, زرنگ ، زیرک ، ناتو ، باهوش ، شیک ، جلوه گر ، تیر کشیدن (ازدرد) ، سوزش داشتن
nenliina	دستمال ، دستمال گردن
nenn inen	پیدا ، اشکار ، ظاهر ، معلوم ، وارث مسلم, مجازی
nenn isesti	ظاهرا
nenn isesti oikea	باورکردنی ، پذیرفتنی ، قابل استماع ، محتمل, خوش منظروبدنهاد ، دارای ظاهر زیبا وفریبنده ، ظاهرا صحیح ، بطورسطحی درست ، ظاهرامنطقی ودرست ولی واقعا عکس ان, قلب ، بدلی ، بدل ، جعلی ، الکی ، نادرست ، حرامزاده
neon	گاز نلون ، چراغ نلون ، شبیه روشنایی نلون
nero	مغز ، مخ ، کله ، هوش ، ذکاوت ، فهم ، مغز کسی را دراوردن ، بقتل رساندن, نابغه ، نبوغ ، استعداد ، دماغ ، ژنی, فکر بکر ، دارای نبوغ فکری ، ابداع کردن
nest	رای ، اخذ رای ، دعا ، رای دادن
nest  vastaan	رای مخالف دادن ، مخالفت کردن ، تحریم کردن, منفی, حق رد ، رد ، منع ، نشانه مخالفت ، رای مخالف ، رد کردن ، قدغن کردن ، رای مخالف دادن
neste	مایع ، ابگونه ، چیز ابکی ، روان ، سلیس ، نقد شو ، پول شدنی ، سهل وساده
nestehukka	پسابش ، کم شدن اب بدن ، وابشت
nestys	ورقه رای ، مهره رای و قرعه کشی ، رای مخفی ، مجموع اراء نوشته ، با ورقه رای دادن ، قرعه کشیدن, رای دادن ، انتخاب ، انتخاب نماینده ، گزینش, رای ، اخذ رای ، دعا ، رای دادن
netn	مادر ، خاموشی ، سکوت ، شخص خاموش ، ساکت بودن, ارام کردن ، تسکین دادن ، ساکت کردن, خموش ، خاموش ، ساکت ، بیصدا ، ارام ، صامت ، بیحرف
netto	درامد ، دخل ، مداخل ، عایدی, شبکه ، تور ، خالص, سود ، نفع ، سود بردن
nettoarvo	قاعده انصاف ، انصاف بی غرضی ، تساوی حقوق
neula	سوزن ، سوزن سرنگ و گرامافون و غیره ، سوزن دوزی کردن ، با سوزن تزریق کردن ، طعنه زدن ، اذیت کردن ، دم باریک ابزاری با نوک تیز و باریک, سنجاق ، پایه سنجاقی
neuloa	بافتن ، کشبافی کردن ، بهم پیوستن ، گره زدن ، بستن
neuvo	اندرز ، رایزنی ، صوابدید ، مشورت ، مصلحت ، نظر ، عقیده ، پند ، نصیحت ، اگاهی ، خبر ، اطلا ع
neuvoa	اندرز ، رایزنی ، صوابدید ، مشورت ، مصلحت ، نظر ، عقیده ، پند ، نصیحت ، اگاهی ، خبر ، اطلا ع, نصیحت کردن ، اگاهانیدن ، توصیه دادن ، قضاوت کردن ، پند دادن ، رایزنی کردن, اندرز ، مشاوره دو نفری ، مشورت ، تدبیر ، پند دادن (به) ، توصیه کردن ، نظریه دادن ، رایزنی
neuvonantaja	رایزن ، مشاور ، راهنما ، رهنمون
neuvotella	گفتگو کردن ، مذاکره کردن ، به پول نقد تبدیل کردن (چک و برات) ، طی کردن, رفتار کردن ، تلقی کردن ، مورد عمل قرار دادن
neva	باتلا ق ، سیاه اب ، گنداب ، لجن زار ، درباتلا ق فرورفتن
nhd	رسیدگی کردن (به) ، ملا حظه کردن ، تفکر کردن, شمردن ، حساب پس دادن ، روی چیزی حساب کردن ، محسوب داشتن ، گمان کردن, ملا حظه ، مراعات ، رعایت ، توجه ، درود ، سلا م ، بابت ، باره ,نگاه ، نظر ، ملا حظه کردن ، اعتنا کردن به ، راجع بودن به ، وابسته بودن به ، نگریستن ، نگاه کردن ، احترام, نظر ، منظره ، نظریه ، عقیده ، دید ، چشم انداز ، قضاوت ، دیدن ، از نظر گذراندن
nht vyys	بینایی ، بینش ، باصره ، نظر ، منظره ، تماشا ، الت نشانه روی ، جلوه ، قیافه ، جنبه ، چشم ، قدرت دید ، دیدگاه ، هدف ، دیدن ، دید زدن ، نشان کردن ، بازرسی کردن
ni	خش ، اختلا ل ، پارازیت ، سروصدا, صدا ، ادا کردن
nielaista	پرستو ، چلچله ، مری ، عمل بلع ، فورت دادن ، فرو بردن ، بلعیدن
nielaisu	عمل بلع ، قدرت بلع, اشامیدن ، نوشانیدن ، اشامیدنی ، نوشابه ، مشروب, پرستو ، چلچله ، مری ، عمل بلع ، فورت دادن ، فرو بردن ، بلعیدن
niemeke	دماغه ، برجستگی
niemi	دماغه ، شنل, دماغه ، برجستگی
nieri	برگشتن ، انجام دادن ، کردن ، بازگشت ، فرصت ، کار روز مزد و اتفاقی
nietos	کنار ، لب ، ساحل ، بانک ، ضرابخانه ، رویهم انباشتن ، در بانک گذاشتن ، کپه کردن ، بلند شدن (ابر یا دود) بطور متراکم ، بانکداری کردن, راندگی
nihke	نم ، رطوبت ، دلمرده کردن ، حالت خفقان پیدا کردن ، مرطوب ساختن
niili	رود نیل
niin	چنین ، اینقدر ، اینطور ، همچو ، چنان ، بقدری ، انقدر ، چندان ، همینطور ، همچنان ، همینقدر ، پس ، بنابراین ، از انرو ، خیلی ، باین زیادی
niin ik n	نیز ، همچنین ، همینطور ، بعلا وه ، گذشته از این
niin ja nin	مشکوک
niin kutsuttu	باصطلا ح ، که چنین نامیده شده ، کذایی
niin sanottu	باصطلا ح ، که چنین نامیده شده ، کذایی
niit	ایشان را ، بایشان ، بانها
niitt	بریدن ، گسیختن ، گسستن ، چیدن ، زدن ، پاره کردن ، قطع کردن ، کم کردن ، تراش دادن (الماس وغیره) ، عبور کردن ,گذاشتن ، برش ، چاک ، شکاف ، معبر ، کانال ، جوی ، تخفیف ، بریدگی, چیدن ، علف چیدن ، چمن را زدن ، توده یونجه یا کاه, درو کردن ، جمع اوری کردن ، بدست اوردن
niitty	چمن ، چمن زار ، مرغزار ، راغ ، علفزار
nikama	استوی ، مهره ، فقره ، استخوانهای مهره ، بندها
nikkari	شخص اماده بخدمت ، نوکر, وصال
nikkeli	نیکل ، ورشو ، سکه پنج سنتی ، اب نیکل دادن
niksi	اشاره ، ایما ، تذکر ، چیز خیلی جزءی ، اشاره کردن, حیله ، نیرنگ ، خدعه ، شعبده بازی ، حقه ، لم ، رمز ، فوت وفن ، حیله زدن ، حقه بازی کردن ، شوخی کردن
nila	لیف درخت ، پوست لیفی درختان
nilevy	صفحه ، دیسک ، صفحه ساختن ، قرص, گرده ، قرص, دیس ، بشقاب بزرگ ، هر چیز پهن ، صفحه گرامافون
nilkka	قوزک ، قوزک پا
nilkkuri	خلخال ، پابند ، غل و زنجیر برای بستن پا
nilviinen	جانور نرم تن ، حلزون
nimellinen	اسمی ، صوری ، جزءی ، کم قیمت
nimenomaan	درست ، عینا ، کاملا ، بدرستی ، بکلی ، یکسره ، چنین است, صریحا ، فورا
nimet	تعیین کردن ، برقرار کردن ، منصوب کردن ، گماشتن ، واداشتن, فرا خواندن ، فرا خوان, شرح دادن ، وصف کردن, تمیزدادن ، تشخیص دادن ، دیفرانسیل گرفتن ، دیدن ، مشهورکردن ، وجه تمایزقاءل شدن, شناختن ، تشخیص هویت دادن ، یکی کردن, کلید, نام, کاندید کردن ، نامیدن ، معرفی کردن ، نامزد کردن
nimet n	انگشت انگشتر ، انگشت چهارم دست چپ
nimetn	بی نام ، دارای نام مستعار ، تخلصی ، لا ادری, بی نام
nimi	نام ، اسم ، لقب ، نامگذاری ، وجه تسمیه, نام گذاری ، تسمیه ، لقب یا عنوان ، طبقه بندی ، مذهب ، واحد جنس ، پول, نقش, نام
nimi	برچسب ، اتیکت ، متمم سند یا نوشته ، تکه باریک ، لقب ، اصطلا ح خاص ، برچسب زدن ، طبقه بندی کردن, کنیه ، لقب ، سمت ، عنوان ، اسم ، مقام ، نام ، حق ، استحقاق ، سند ، صفحه عنوان کتاب ، عنوان نوشتن ، واگذارکردن ، عنوان دادن به ، لقب دادن ، نام نهادن
nimiid	برچسب ، اتیکت ، متمم سند یا نوشته ، تکه باریک ، لقب ، اصطلا ح خاص ، برچسب زدن ، طبقه بندی کردن
nimike	کنیه ، لقب ، سمت ، عنوان ، اسم ، مقام ، نام ، حق ، استحقاق ، سند ، صفحه عنوان کتاب ، عنوان نوشتن ، واگذارکردن ، عنوان دادن به ، لقب دادن ، نام نهادن
nimikirjain	نخستبن ، اول ، اولین ، اصلی ، اغازی ، ابتدایی ، بدوی ، واقع در اغاز ، اولین قسمت ، پاراف
nimikirjoitus	امضاء ، دستینه ، صحه ، توشیح ، امضاء کردن
nimitell	فرا خواندن ، فرا خوان
nimitt	تعیین کردن ، برقرار کردن ، منصوب کردن ، گماشتن ، واداشتن
nimitt j	برخه نام ، تقسیم کننده ، مشتق کننده ، مقسوم علیه ، مخرج
nin  aikoina	حالا ، اکنون ، فعلا ، در این لحظه ، هان ، اینک, امروزه ، این روزها, امروز
nipist	نیشگون ، گازگرفتن ,کش رفتن ,مانع رشدونمو شدن ,جوانه زدن ، صدمه زدن ,پریدن ,زخم زبان ,سرمازدگی, نیشگون گرفتن ، قاپیدن ، مضیقه ، تنگنا ، موقعیت باریک ، سربزنگاه ، نیشگون ، اندک ، جانشین, فشردن ، له کردن ، چلا ندن ، فشار دادن ، اب میوه گرفتن ، بزورجا دادن ، زور اوردن ، فشار ، فشرده ، چپاندن, صدای جیر جیر ، جیر جیر کردن (پرندگان کوچک), دور زدن ، پیچیدن ، درد کشیدن ، تیر کشیدن ، نیش ، سوزش ، سرزنش وجدان ، دردشدیدوناگهانی, تکان ناگهانی ، ناگهان کشیدن ، جمع شدن ، بهم کشیدن ، گره زدن ، فشردن ، پیچاندن ، سرکوفت دادن ، منقبض شدن ، کشش ، حرکت یا کشش ناگهانی
nipistys	نیشگون گرفتن ، قاپیدن ، مضیقه ، تنگنا ، موقعیت باریک ، سربزنگاه ، نیشگون ، اندک ، جانشین
nippa nappa	پهلو به پهلو ، تقریبا برابر
nippu	خوشه ، گروه ، دسته کردن ، خوشه کردن, بقچه ، بسته ، مجموعه ، دسته کردن ، بصورت گره دراوردن ، بقچه بستن, دسته ، بافه ، بغل ، دسته یابافه گندم ، دسته گل یا گیاه ، بافه ردن ، دسته کردن, لا یی ، کهنه ، نمد ، استری ، توده کاه ، توده ، کپه کردن ، لا یی گذاشتن ، فشردن
nirso	گزینگر ، انتخاب کننده, سخت گیر ، باریک بین ، مشکل پسند ، بیزار, مخصوص ، ویژه ، خاص ، بخصوص ، مخمص ، دقیق ، نکته بین ، خصوصیات ، تک ، منحصر بفرد, ضربه زننده ، بانوک بردارنده ، ناخنک زن
nis	سینه ، پستان ، اغوش ، افکار ، وجدان ، نوک پستان ، هرچیزی شبیه پستان ، سینه بسینه شدن ، برابر ، باسینه دفاع کردن, نوک پستان ، نوک غده ، پستانک مخصوص شیربچه ، ازنوک پستان خوردن, نوک پستان ، ممه ، هر چیزی شبیه نوک پستان ، قله ، خوراک نرم و رقیق(مثل فرنی) ، خمیر نرم ، تفاله گوشت یا سیب, نوک پستان ، ممه ، شبیه نوک پستان ، پستانک, تلا فی ، ضربه ، یابو ، دختریازن ، نوک پستان ، ممه
nis ks	پستاندار
niska	پشت گردن ، پس گردن ، قفا ، هیره, شوره سر ، سبوسه ، ادم بی عرضه وفقیر ، پرده نازک ، غشاء ، قفا ، پس گردن ، دون شمردن
niskoitella	بابی احترامی صحبت کردن با ، گستاخانه سخن گفتن با ، بیشرمانه گفتگو کردن
niskoitteleva	سرکش ، یاغی ، متمرد ، مضطرب ، متلا طم
niskuroida	بابی احترامی صحبت کردن با ، گستاخانه سخن گفتن با ، بیشرمانه گفتگو کردن
nisu	گندم
nitoa	مقید کردن ، جلد کردن, دوختن ، دوزندگی کردن ، خیاطی کردن, رزه ، ستون ، تیر ، عمود ، چهارپایه تخت ، گیره کاغذ ، بست اهنی ، کالا ی اصلی بازار مصنوعات مهم واصلی یک محل ,جزء اصلی هر چیزی ، قلم اصلی ، فقره اصلی ، طبقه بندی یا جور کردن ، مواد خام, کوک ، بخیه ، بخیه جراحی ، بخیه زدن
nitys	مدرک ، سابقه ، ضبط کردن ، ثبت کردن, ثبت ، ضبط ، صفحه گرامافون
niukin naukin	پهلو به پهلو ، تقریبا برابر
niukka	کم ، اندک قلیل ، غیر کافی, دریغ داشتن ، مضایقه کردن ، چشم پوشیدن از ، بخشیدن ، برای یدکی نگاه داشتن ، درذخیره نگاه داشتن ، مضایقه ، ذخیره ، یدکی ، لا غر ، نحیف ، نازک ، کم حرف
niukkasanainen	رد کننده ، غیر صریح ، غیر مشخص
nivaska	خوشه ، گروه ، دسته کردن ، خوشه کردن, بقچه ، بسته ، مجموعه ، دسته کردن ، بصورت گره دراوردن ، بقچه بستن
nivel	درزه ، بند گاه ، بند ، مفصل ، پیوندگاه ، زانویی ، جای کشیدن تریاک با استعمال نوشابه ، لولا ، مشترک ، توام ، شرکتی ، مشاع ، شریک ، متصل ، کردن ، خرد کردن ، بند بند کردن ، مساعی مشترک
nivelside	پیوند ، رباط ، بند ، وتر عضلا نی ، بندیزه
nivuset	کشاله ران ، بیخ ران ، محل تلا قی دو طاق ، دوطاقه کردن ، مثل خوک فریادکردن ، غرولند کردن
nizza	نازنین ، دلپسند ، خوب ، دلپذیر ، مطلوب ، مودب ، نجیب
nk kohta	صورت کوچک ، سطوح کوچک جواهر و سنگهای قیمتی ، تراش ، شکل ، منظر ، بند ، مفصل
nk kulma	دید ، بینایی ، منظره ، چشم انداز ، مناظر و مرایا ، جنبه فکری ، لحاظ ، سعه نظر ، روشن بینی ، مال اندیشی ، تجسم شی ، خطور فکر ، دیدانداز, نقطه نظر ، دیدگاه ، نظریه ، دید
nk kyky	بینایی ، بینش ، باصره ، نظر ، منظره ، تماشا ، الت نشانه روی ، جلوه ، قیافه ، جنبه ، چشم ، قدرت دید ، دیدگاه ، هدف ، دیدن ، دید زدن ، نشان کردن ، بازرسی کردن, دید ، بینایی ، رویا ، خیال ، تصور ، دیدن ، یا نشان دادن (دررویا) ، منظره ، وحی ، الهام ، بصیرت
nk.	باصطلا ح ، که چنین نامیده شده ، کذایی
nkemiin	خدا حافظ ، بدرود ، وداع
nky	دید ، بینایی ، رویا ، خیال ، تصور ، دیدن ، یا نشان دادن (دررویا) ، منظره ، وحی ، الهام ، بصیرت
nkytt	گیرکردن ، لکنت زبان پیدا کردن ، با شبهه وتردید سخن گفتن ، تزلزل یا لغزش پیداکردن, لکنت پیدا کردن ، گیر کردن (زبان) ، لکنت ، من من کردن, لکنت داشتن ، بالکنت حرف زدن ، لکنت
nkyvyys	پیدا ، پدیداری ، قابلیت دیدن ، میدان دید ، دید
nl nht	تنگ سالی ، قحطی ، قحط وغلا ، کمیابی ، نایابی ، خشکسالی
nlk	گرسنگی ، اشتیاق ، قحطی ، گرسنه کردن ، گرسنگی دادن ، گرسنه شدن ، اشتیاق داشتن
nlk inen	گرسنه ، دچار گرسنگی ، حاکی از گرسنگی ، گرسنگی اور ، حریص ، مشتاق
nm	اینها ، اینان
nnell	رفتن ، روانه ساختن ، رهسپار شدن ، عزیمت کردن ، گذشتن ، عبور کردن ، کارکردن ، گشتن ، رواج داشتن ، تمام شدن ، راه رفتن ، نابود شدن ، روی دادن ، بران بودن ، درصدد بودن ، راهی شدن, صدا ، اوا ، سالم ، درست ، بی عیب ، استوار ، بی خطر ، دقیق ، مفهوم ، صدا دادن ، بنظر رسیدن ، بگوش خوردن ، بصدا دراوردن ، نواختن ، زدن ، بطور ژرف ، کاملا ، ژرفاسنجی کردن ، گمانه زدن, مطلق ، بحداکثر ، باعلی درجه ، کاملا ، جمعا ، حداعلی ، غیر عادی ، اداکردن ، گفتن ، فاش کردن ، بزبان اوردن, با صدا ادا کردن ، تلفظ کردن ، تشکیل دادن, صدا ، ادا کردن
no	صحیح ، بسیار خوب ، بی عیب ، حتمی, حالا ، اکنون ، فعلا ، در این لحظه ، هان ، اینک, چنین ، اینقدر ، اینطور ، همچو ، چنان ، بقدری ، انقدر ، چندان ، همینطور ، همچنان ، همینقدر ، پس ، بنابراین ، از انرو ، خیلی ، باین زیادی, چشمه ، جوهردان ، دوات ، ببالا فوران کردن ، روامدن اب ومایع ، درسطح امدن وجاری شدن ، :خوب ، تندرست ، سالم ، راحت ، بسیارخوب ، به چشم ، تماما ، تمام وکمال ، بدون اشکال ، اوه ، خیلی خوب
nobelium	پاسخ نه ، منفی ، مخالف ، خیر ، ابدا
noidannuoli	کمر درد ، پشت درد ، دردپشت
noin	درباره ، گرداگرد ، پیرامون ، دور تا دور ، در اطراف ، نزدیک ، قریب ، در حدود ، در باب ، راجع به ، در شرف ، در صدد ، با ، نزد ، در ، بهر سو ، تقریبا ، بالا تر ، فرمان عقب گرد, تقریبا, گرداگرد ، دور ، پیرامون ، دراطراف ، درحوالی ، در هر سو ، در نزدیکی, درحدود ، دراطراف ، تقریبا, برخی ، بعضی ، بعض ، ب رخی از ، اندکی ، چندتا ، قدری ، کمی از ، تعدادی ، غالبا ، تقریبا ، کم وبیش ، کسی ، شخص یا چیز معینی
noita	پیرزن (زشت) ، زن اخمو و پرحرف ، مادربزرگ, پیرزن فرتوت ، عجوزه, عجوزه ، ساحره ، مه سفید ، حصار, انها ، انان, زن جادوگر ، ساحره ، پیره زن ، فریبنده ، افسون کردن ، سحر کردن ، مجذوب کردن
noita-akka	زن جادوگر ، ساحره ، پیره زن ، فریبنده ، افسون کردن ، سحر کردن ، مجذوب کردن
noja	اسایش ، استراحت ، محل استراحت ، اسودن ، استراحت کردن ، ارمیدن ، تجدید قوا ، کردن ، تکیه دادن ، متکی بودن به ، الباقی ، نتیجه ، بقایا ، سایرین ، دیگران ، باقیمانده
nojata	تکیه کردن ، تکیه زدن ، پشت دادن ، کج شدن ، خم شدن ، پشت گرمی داشتن ، متکی شدن ، تکیه دادن بطرف ، تمایل داشتن ، لا غر ، نزار ، نحیف ، اندک ، ضعیف ، کم سود ، بیحاصل, اسایش ، استراحت ، محل استراحت ، اسودن ، استراحت کردن ، ارمیدن ، تجدید قوا ، کردن ، تکیه دادن ، متکی بودن به ، الباقی ، نتیجه ، بقایا ، سایرین ، دیگران ، باقیمانده, نگهداشتن ، متحمل شدن ، تحمل کردن ، تقویت کردن ، حمایت کردن از
noki	دوده ، دوده بخاری ، رنگ سیاه دوده ، دوده زدن
nokikana	انقوت ، انگیت ، ادم ساده واحمق
nokka	منقار ، پوزه ، دهنه لوله, نوک ، منقار ، نوعی شمشیر پهن ، نوک بنوک هم زدن (چون کبوتران) ، لا یحه قانونی ، قبض ، صورتحساب ، برات ، سند ، اسکناس ، صورتحساب دادن
